aoi,year,mean_vpd,mean_vpd_anom,cropland,cropland_mosaics,forest,forest_savannas,grassland,urban_built,min_vpd,min_vpd_anom,max_vpd,max_vpd_anom,population,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade,n,koppen_mode,REGION_WB,INCOME_GRP,ECONOMY,SUBREGION
myanmar,2003,111.53116606107946,-4.742910500185222,130570.1275020231,131433.99025431933,354927.5123733511,451210.4840629787,34800.69132385173,1494.1258085098643,103.76224265954497,-8.083653262604376,116.98534322835675,-1.808672323522624,487207.3143508171,78.33646700582437,24.69202338011937,0.7491055671009391,31187.5120751134,41633,0.5540300502101643,1.2520356448009993,0.4317257862064249,0.3889719599176849,10.636672420127605,0.34910054161306986,16194.069607252972,0.7797696605642525,0.31877579323192173,00s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2013,118.9170153894718,12.095881866490377,134134.28605592847,135331.53242420068,332082.95646592096,442394.13263350615,37671.92573553158,1522.116905623651,114.11198838755767,8.859983243969038,121.00009149722328,15.580552530060755,424735.5140075444,72.48073575582298,25.21827112323866,0.673554656488892,30140.223768564934,44748,0.5147385273248413,1.253799052471619,0.41774140795262543,0.3843613377294057,10.708824377084602,0.3438701701650782,17199.401140715447,0.7810309556536992,0.3140785545139123,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2014,116.04106238870595,4.90648333673037,134272.8005276347,135577.59022833875,331791.1401741387,441847.8136477641,37867.428609893264,1527.351721045526,107.48245426372846,0.9567876673300612,120.03872234722164,9.148164222587225,421194.1486489583,77.76470605075747,22.573079257395577,0.7213433836934476,37812.09882982682,52419,0.5374186010556594,1.261012228390469,0.4236341878925038,0.38554092419450775,10.867043476877395,0.3456308340005097,20209.669705351906,0.7827437620688956,0.31479099830944796,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2015,115.32446781422644,1.0367614172582773,134688.9157223386,135986.93552587452,331793.62192842126,441761.1097966125,37700.797012228286,1531.0899717642758,107.349942928607,-2.5815765766145384,119.66131881448976,4.628923981819504,418454.73165257694,69.6891918671855,27.123579497354232,0.735757692504312,38587.54794108114,52446,0.5533786486234172,1.2433932044388514,0.4413308384422209,0.3908576422269997,10.867558414857822,0.3529564257550199,20498.91990423723,0.775879229041584,0.32326071264360084,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2016,111.36162772597017,0.05382203766001644,135222.1828671679,136571.6686702141,331388.80687982886,441352.9629188847,37409.70117060236,1532.335991295526,101.1534877958957,-5.043119149971532,116.91760169404704,5.093183179969139,415575.8841066123,79.86130610168216,33.29075754454877,0.6793236030147102,25153.99437242869,37028,0.5090114370598108,1.2477584530625472,0.41475775463879255,0.3779269559155794,10.51945666841204,0.33791931675210957,13993.879323642072,0.7799681242879747,0.3101393331624612,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2017,108.20635200209767,-6.555309650079705,135199.82281325836,136473.49872333527,331801.81857092376,441408.61579137045,36495.01701528392,1537.4120940962614,105.05007799536328,-15.867911598753857,110.6754870391174,2.5438041150394577,413153.57348013594,71.31157254330257,31.016865117538007,0.7145240601927634,28156.53511595603,39406,0.5336887666904168,1.252296604577983,0.4267247821778397,0.38571818514118533,10.581698744480091,0.3462890727909624,15199.610803673548,0.7795749832978957,0.31660587059320655,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2018,99.74522863049243,-22.80399320368257,132056.59423952765,133455.62373222047,329824.99150821124,442598.0781307082,36947.08197463429,1542.2846117577196,91.86880213159635,-31.073661284262258,105.8867150004762,-14.956599616458089,410938.5399666242,81.03237547210881,52.80330088769844,0.6277323217690388,24151.373347742003,38474,0.4789397991660934,1.2409939179705776,0.39378677676109425,0.3654818131390182,10.55776395870708,0.32733430801891095,14061.547278710585,0.7761848537663977,0.3009888826109517,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2019,104.4600144493378,-11.821342883075095,132375.83779851688,133687.44837846793,327372.88223314553,443643.5751640683,37907.52844207162,1550.57953535343,98.09666103758092,-17.63185442117592,109.28869625245434,-6.287723492501985,409256.4566750871,83.99160951742779,50.74313427777474,0.6467832549093488,26531.6958996364,41021,0.4895061294177557,1.2442163769776455,0.3994890268271825,0.37001452529030393,10.62186378714185,0.3314493890788435,15178.365841933555,0.7773181213984461,0.30426912961416186,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2020,113.55006709997022,4.4447686041243815,134224.79464759104,135357.1344376405,327479.506796208,440986.1147758284,41099.77888345183,1561.0480487284303,104.06103250041566,0.0229123493922596,118.89580199904582,9.064920410056846,407143.5060514108,74.1941345643252,35.226523425456875,0.7322951053809554,39075.99911823315,53361,0.53423503663335,1.278349356271434,0.4257491223213487,0.39298923154828586,10.884854161146473,0.3491223664844004,20970.29838464809,0.7884048115547151,0.31735079096684665,10s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
myanmar,2004,115.16107881486536,3.363766353172299,131232.25843145588,131979.04522351458,350477.35338431323,449769.86791587697,35963.77376625136,1495.1231768848645,104.62965102357104,-3.170660981960239,119.71583767573938,10.242946196141393,476757.9037330171,71.39021865479948,21.20371514194697,0.8054027840593884,53532.70684807534,66467,0.5810934010296135,1.26599665999669,0.4495636283619456,0.4008304502234788,11.104475907821104,0.3590397854967668,26641.99753500398,0.7842569452274755,0.3262894591577863,00s,18,Equatorial,East Asia & Pacific,5. Low income,7. Least developed region,South-Eastern Asia
